nov 1/17:32:10.175 DEBUG2 : 		STLinkOpen
nov 1/17:32:10.194 DEBUG2 : 		Reset
nov 1/17:32:10.197 DEBUG2 : 		Stop
nov 1/17:32:10.197 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.197 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.198 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.198 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.198 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.199 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.199 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.199 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.199 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.200 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.200 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.200 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.201 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.201 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.201 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.202 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.202 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.202 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.203 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.203 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.203 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.203 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.204 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.204 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.204 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.205 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.205 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.205 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.206 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.206 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.207 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.207 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.207 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.208 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.208 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.208 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.209 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.209 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.209 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.210 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.210 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.210 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.211 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.211 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.211 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.211 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.212 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.212 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.212 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.213 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.213 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.213 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.214 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.214 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.214 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.215 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.215 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.215 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.215 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.216 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.216 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.216 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.217 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.217 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.217 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.218 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.218 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.218 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.219 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.219 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.219 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.220 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.220 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.220 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.220 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.221 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.221 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.221 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.222 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.222 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.222 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.223 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.223 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.223 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.224 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.224 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.224 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.224 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.225 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.225 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.226 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.226 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.229 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.240 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.241 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.241 DEBUG2 : 		WriteTarget32 Address=0xE0042008 Data=0x00001800
nov 1/17:32:10.242 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.242 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.243 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.243 DEBUG2 : 		WriteTarget32 Address=0x40023808 Data=0x00000000
nov 1/17:32:10.243 DEBUG2 : 		WriteTarget32 Address=0x40023800 Data=0x00010083
nov 1/17:32:10.243 DEBUG2 : 		WriteTarget32 Address=0x4002380C Data=0x00000000
nov 1/17:32:10.244 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.286 DEBUG2 : 		WriteTarget32 Address=0x20000000 Data=0x20020000
nov 1/17:32:10.286 DEBUG2 : 		WriteTarget32 Address=0x20000040 Data=0x4C1EB51C
nov 1/17:32:10.296 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.296 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.296 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.299 DEBUG2 : 		STLinkWriteReg
nov 1/17:32:10.299 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.302 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.302 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.302 DEBUG2 : 		STLinkWriteReg
nov 1/17:32:10.303 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
